iter	Passed	Remaining
403	9138	2171
404	9159	2148
405	9181	2125
406	9202	2102
407	9223	2079
408	9244	2056
409	9267	2034
410	9289	2011
411	9310	1988
412	9331	1965
413	9352	1942
414	9380	1921
415	9402	1898
416	9424	1875
417	9446	1853
418	9469	1830
419	9489	1807
420	9510	1784
421	9531	1761
422	9554	1739
423	9576	1716
424	9598	1693
425	9618	1670
426	9640	1648
427	9662	1625
428	9683	1602
429	9705	1579
430	9725	1556
431	9747	1534
432	9770	1511
433	9791	1489
434	9812	1466
435	9832	1443
436	9854	1420
437	9878	1398
438	9899	1375
439	9922	1353
440	9943	1330
441	9969	1308
442	9990	1285
443	10010	1262
444	10029	1239
445	10050	1216
446	10073	1194
447	10093	1171
448	10113	1148
449	10134	1126
450	10156	1103
451	10176	1080
452	10197	1058
453	10220	1035
454	10240	1012
455	10263	990
456	10285	967
457	10306	945
458	10328	922
459	10349	899
460	10370	877
461	10392	854
462	10413	832
463	10434	809
464	10455	786
465	10477	764
466	10498	741
467	10520	719
468	10539	696
469	10561	674
470	10582	651
471	10604	629
472	10624	606
473	10646	583
474	10667	561
475	10689	538
476	10710	516
477	10731	493
478	10752	471
479	10775	448
480	10793	426
481	10815	403
482	10838	381
483	10857	358
484	10880	336
485	10902	314
486	10923	291
487	10944	269
488	10965	246
489	10986	224
490	11008	201
491	11029	179
492	11051	156
493	11073	134
494	11095	112
495	11117	89
496	11139	67
497	11159	44
498	11182	22
499	11203	0
