iter	Logloss
0	0.6757713152
1	0.6619406991
2	0.6496151316
3	0.6391233137
4	0.6302934933
5	0.6220494418
6	0.6148605586
7	0.608839991
8	0.6030582324
9	0.597820262
10	0.5926180149
11	0.5876351508
12	0.5832525317
13	0.5797054177
14	0.5767178754
15	0.5723223679
16	0.5695153566
17	0.5667990779
18	0.5635193984
19	0.5608252541
20	0.5584511253
21	0.5557725312
22	0.5542457218
23	0.5526193074
24	0.5507227035
25	0.5483151395
26	0.5471818001
27	0.544658007
28	0.5430947739
29	0.5416431002
30	0.5400801939
31	0.5384143205
32	0.5371850652
33	0.5358687198
34	0.5340277321
35	0.5329200762
36	0.531289926
37	0.5299367366
38	0.5287204631
39	0.5276657617
40	0.5266523873
41	0.5257492181
42	0.5247070782
43	0.5234410256
44	0.5226251334
45	0.5217553526
46	0.5205515473
47	0.5192584103
48	0.5181330095
49	0.5170593491
50	0.5158852431
51	0.5146289969
52	0.5139134101
53	0.5127510718
54	0.5121881846
55	0.5113597308
56	0.5103730671
57	0.5097344839
58	0.5093606266
59	0.5083921748
60	0.5069729089
61	0.506123208
62	0.5053725049
63	0.5046364647
64	0.5037445495
65	0.5028110272
66	0.5020503309
67	0.5014972501
68	0.5007753125
69	0.5003209961
70	0.4991685109
71	0.4985950701
72	0.4978981155
73	0.4972151232
74	0.4966215093
75	0.4958457299
76	0.4953710535
77	0.4948004613
78	0.4942725969
79	0.4938251917
80	0.4934073925
81	0.4928779404
82	0.4923553528
83	0.4920548101
84	0.4913489363
85	0.49094071
86	0.4904188695
87	0.4900777937
88	0.48966345
89	0.489329192
90	0.4888298596
91	0.4880021062
92	0.4874507532
93	0.4867569739
94	0.4862022587
95	0.4857513979
96	0.4852331532
97	0.4848868006
98	0.4844405161
99	0.484060308
